Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Moyenne_Anomalie,Emission_CO2,Année
0.49,0.64,0.32,0.31,.26,.36,.38,.31,.38,.34,.37,.41,0.44,1.14071381112,1999.0
0.25,0.55,0.55,0.56,.35,.39,.39,.42,.38,.26,.30,.28,0.47750000000000004,1.17271159417,2000.0
0.46,0.44,0.55,0.5,.57,.51,.59,.49,.52,.50,.72,.55,0.48750000000000004,1.18473023917,2001.0
0.77,0.78,0.88,0.58,.64,.52,.60,.53,.62,.53,.58,.43,0.7525000000000001,1.20844444834,2002.0
0.75,0.58,0.59,0.55,.60,.47,.57,.64,.62,.72,.53,.74,0.6174999999999999,1.26657282656,2003.0
0.58,0.72,0.63,0.61,.37,.43,.26,.45,.50,.60,.72,.50,0.6349999999999999,1.31875591939,2004.0
0.74,0.6,0.74,0.68,.62,.64,.61,.60,.70,.74,.73,.68,0.6900000000000001,1.35823427976,2005.0
0.55,0.72,0.62,0.48,.48,.65,.53,.70,.64,.69,.73,.79,0.5925,1.40015858581,2006.0
1.02,0.69,0.72,0.76,.69,.61,.59,.59,.59,.58,.58,.49,0.7974999999999999,1.43608116679,2007.0
0.3,0.37,0.74,0.53,.49,.49,.59,.46,.60,.66,.68,.53,0.485,1.45826862396,2008.0
0.64,0.52,0.53,0.6,.64,.64,.73,.67,.72,.64,.79,.67,0.5725,1.43050684943,2009.0
0.74,0.83,0.92,0.84,.75,.67,.62,.66,.63,.70,.81,.44,0.8324999999999999,1.50639104126,2010.0
0.51,0.47,0.65,0.64,.53,.62,.69,.74,.56,.65,.58,.60,0.5675,1.55179919824,2011.0
0.48,0.49,0.57,0.72,.78,.64,.58,.64,.71,.79,.78,.53,0.565,1.57403072514,2012.0
0.7,0.62,0.67,0.53,.60,.68,.60,.69,.77,.69,.83,.69,0.6299999999999999,1.58274480966,2013.0
0.75,0.54,0.78,0.79,.85,.67,.58,.82,.87,.80,.66,.78,0.7150000000000001,1.58941227066,2014.0
0.85,0.9,0.95,0.75,.80,.81,.73,.80,.84,1.09,1.06,1.16,0.8625,1.589000991,2015.0
1.17,1.37,1.36,1.1,.95,.80,.84,1.02,.90,.88,.91,.86,1.25,1.58778178363,2016.0
1.01,1.13,1.16,0.94,.90,.71,.81,.87,.77,.90,.88,.93,1.06,1.60812155215,2017.0
0.81,0.84,0.88,0.88,.82,.77,.82,.76,.80,1.01,.82,.91,0.8524999999999999,1.63687086986,2018.0
0.92,0.95,1.17,1.01,.84,.90,.94,.94,.92,1.01,.99,1.08,1.0125,1.63742306297,2019.0
1.16,1.24,1.16,1.13,1.01,.91,.90,.87,.98,.88,1.10,.81,1.1724999999999999,1.55286823322,2020.0
0.81,0.64,0.88,0.74,.78,.84,.92,.81,.91,.99,.92,.85,0.7675000000000001,,
0.91,0.89,1.04,0.82,,,,,,,,,0.9149999999999999,,
