,Time,Anomaly,Year,Latitudes
324,1916;64N-90N,-0.46,1916,64N-90N
325,1916;44N-64N,-0.54,1916,44N-64N
326,1916;24N-44N,-0.25,1916,24N-44N
327,1916;EQU-24N,-0.5,1916,EQU-24N
328,1916;24S-EQU,-0.38,1916,24S-EQU
329,1916;44S-24S,-0.22,1916,44S-24S
330,1916;64S-44S,-0.17,1916,64S-44S
331,1916;90S-64S,-1.05,1916,90S-64S
333,1917;64N-90N,-0.8,1917,64N-90N
334,1917;44N-64N,-0.5,1917,44N-64N
335,1917;24N-44N,-0.44,1917,24N-44N
336,1917;EQU-24N,-0.69,1917,EQU-24N
337,1917;24S-EQU,-0.56,1917,24S-EQU
338,1917;44S-24S,-0.22,1917,44S-24S
339,1917;64S-44S,-0.09,1917,64S-44S
340,1917;90S-64S,0.06,1917,90S-64S
342,1918;64N-90N,-0.99,1918,64N-90N
343,1918;44N-64N,-0.27,1918,44N-64N
344,1918;24N-44N,-0.36,1918,24N-44N
345,1918;EQU-24N,-0.39,1918,EQU-24N
346,1918;24S-EQU,-0.27,1918,24S-EQU
347,1918;44S-24S,-0.05,1918,44S-24S
348,1918;64S-44S,-0.23,1918,64S-44S
349,1918;90S-64S,-0.28,1918,90S-64S
351,1919;64N-90N,-0.69,1919,64N-90N
352,1919;44N-64N,-0.56,1919,44N-64N
353,1919;24N-44N,-0.31,1919,24N-44N
354,1919;EQU-24N,-0.23,1919,EQU-24N
355,1919;24S-EQU,-0.16,1919,24S-EQU
356,1919;44S-24S,-0.14,1919,44S-24S
357,1919;64S-44S,-0.32,1919,64S-44S
358,1919;90S-64S,0.2,1919,90S-64S
360,1920;64N-90N,0.01,1920,64N-90N
361,1920;44N-64N,-0.2,1920,44N-64N
362,1920;24N-44N,-0.36,1920,24N-44N
363,1920;EQU-24N,-0.38,1920,EQU-24N
364,1920;24S-EQU,-0.12,1920,24S-EQU
365,1920;44S-24S,-0.18,1920,44S-24S
366,1920;64S-44S,-0.48,1920,64S-44S
367,1920;90S-64S,-1.14,1920,90S-64S
369,1921;64N-90N,0.0,1921,64N-90N
370,1921;44N-64N,0.17,1921,44N-64N
371,1921;24N-44N,-0.1,1921,24N-44N
372,1921;EQU-24N,-0.3,1921,EQU-24N
373,1921;24S-EQU,-0.2,1921,24S-EQU
374,1921;44S-24S,-0.22,1921,44S-24S
375,1921;64S-44S,-0.38,1921,64S-44S
376,1921;90S-64S,-0.84,1921,90S-64S
378,1922;64N-90N,-0.31,1922,64N-90N
379,1922;44N-64N,-0.41,1922,44N-64N
380,1922;24N-44N,-0.15,1922,24N-44N
381,1922;EQU-24N,-0.33,1922,EQU-24N
382,1922;24S-EQU,-0.32,1922,24S-EQU
383,1922;44S-24S,-0.23,1922,44S-24S
384,1922;64S-44S,-0.28,1922,64S-44S
385,1922;90S-64S,-0.28,1922,90S-64S
387,1923;64N-90N,0.18,1923,64N-90N
388,1923;44N-64N,-0.15,1923,44N-64N
389,1923;24N-44N,-0.26,1923,24N-44N
390,1923;EQU-24N,-0.33,1923,EQU-24N
391,1923;24S-EQU,-0.27,1923,24S-EQU
392,1923;44S-24S,-0.26,1923,44S-24S
393,1923;64S-44S,-0.41,1923,64S-44S
394,1923;90S-64S,-0.55,1923,90S-64S
396,1924;64N-90N,0.47,1924,64N-90N
397,1924;44N-64N,-0.25,1924,44N-64N
398,1924;24N-44N,-0.23,1924,24N-44N
399,1924;EQU-24N,-0.27,1924,EQU-24N
400,1924;24S-EQU,-0.25,1924,24S-EQU
401,1924;44S-24S,-0.39,1924,44S-24S
